#,Player,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
11,Kyrie Irving,CLE,72,35.1,25.2,9.3,19.7,47.3,2.5,6.1,40.1,4.1,4.6,90.5,0.7,2.5,3.2,5.8,1.2,0.3,2.5,22.4
12,Karl-Anthony Towns,MIN,82,37.0,25.1,9.8,18.0,54.2,1.2,3.4,36.7,4.3,5.2,83.2,3.6,8.7,12.3,2.7,0.7,1.3,2.6,30.3
13,Kevin Durant,GSW,62,33.4,25.1,8.9,16.5,53.7,1.9,5.0,37.5,5.4,6.2,87.5,0.6,7.6,8.3,4.8,1.1,1.6,2.2,30.2
14,Jimmy Butler,CHI,76,37.0,23.9,7.5,16.5,45.5,1.2,3.3,36.7,7.7,8.9,86.5,1.7,4.5,6.2,5.5,1.9,0.4,2.1,25.6
15,Paul George,IND,75,35.9,23.7,8.3,18.0,46.1,2.6,6.6,39.3,4.5,5.0,89.8,0.8,5.8,6.6,3.3,1.6,0.4,2.9,22.4
16,Andrew Wiggins,MIN,82,37.2,23.6,8.6,19.1,45.2,1.3,3.5,35.6,5.0,6.6,76.0,1.2,2.8,4.0,2.3,1.0,0.4,2.3,16.9
17,Kemba Walker,CHA,79,34.7,23.2,8.1,18.3,44.4,3.0,7.6,39.9,3.8,4.5,84.7,0.6,3.3,3.9,5.5,1.1,0.3,2.1,20.9
18,John Wall,WAS,78,36.4,23.1,8.3,18.4,45.1,1.1,3.5,32.7,5.4,6.8,80.1,0.8,3.4,4.2,10.7,2.0,0.6,4.1,25.0
19,Bradley Beal,WAS,77,34.9,23.1,8.3,17.2,48.2,2.9,7.2,40.4,3.7,4.4,82.5,0.7,2.4,3.1,3.5,1.1,0.3,2.0,19.3
20,CJ McCollum,POR,80,35.0,23.0,8.7,18.0,48.0,2.3,5.5,42.1,3.4,3.7,91.2,0.8,2.9,3.6,3.6,0.9,0.5,2.2,19.7
21,Giannis Antetokounmpo,MIL,80,35.6,22.9,8.2,15.7,52.1,0.6,2.3,27.2,5.9,7.7,77.0,1.8,7.0,8.8,5.4,1.6,1.9,2.9,28.4
22,Carmelo Anthony,NYK,74,34.3,22.4,8.1,18.8,43.3,2.0,5.7,35.9,4.1,4.9,83.3,0.8,5.1,5.9,2.9,0.8,0.5,2.1,19.0
23,Kyle Lowry,TOR,60,37.4,22.4,7.1,15.3,46.4,3.2,7.8,41.2,5.0,6.1,81.9,0.8,4.0,4.8,7.0,1.5,0.3,2.9,23.7
24,Klay Thompson,GSW,78,34.0,22.3,8.3,17.6,46.8,3.4,8.3,41.4,2.4,2.8,85.3,0.6,3.0,3.7,2.1,0.8,0.5,1.6,18.0
25,Devin Booker,PHX,78,35.0,22.1,7.8,18.3,42.3,1.9,5.2,36.3,4.7,5.7,83.2,0.6,2.6,3.2,3.4,0.9,0.3,3.1,15.3
26,Gordon Hayward,UTA,73,34.5,21.9,7.5,15.8,47.1,2.0,5.1,39.8,5.0,5.9,84.4,0.7,4.7,5.4,3.5,1.0,0.3,1.9,20.8
27,Blake Griffin,LAC,61,34.0,21.6,7.9,15.9,49.3,0.6,1.9,33.6,5.2,6.9,76.0,1.8,6.3,8.1,4.9,0.9,0.4,2.3,23.9
28,Eric Bledsoe,PHX,66,33.0,21.1,6.8,15.7,43.4,1.6,4.7,33.5,5.9,6.9,84.7,0.8,4.1,4.8,6.3,1.4,0.5,3.4,20.8
29,Brook Lopez,BKN,75,29.6,20.5,7.4,15.6,47.4,1.8,5.2,34.6,3.9,4.9,81.0,1.6,3.8,5.4,2.3,0.5,1.7,2.5,18.8
30,Mike Conley,MEM,69,33.2,20.5,6.7,14.6,46.0,2.5,6.1,40.8,4.6,5.3,85.9,0.4,3.0,3.5,6.3,1.3,0.3,2.3,21.0
31,Goran Dragic,MIA,73,33.7,20.3,7.3,15.4,47.5,1.6,4.0,40.5,4.1,5.2,79.0,0.8,3.0,3.8,5.8,1.2,0.2,2.9,19.3
32,Marc Gasol,MEM,74,34.2,19.5,7.2,15.7,45.9,1.4,3.6,38.8,3.8,4.5,83.7,0.8,5.5,6.3,4.6,0.9,1.3,2.2,21.2
33,Harrison Barnes,DAL,79,35.5,19.2,7.6,16.2,46.8,1.0,2.8,35.1,3.1,3.6,86.1,1.2,3.8,5.0,1.5,0.8,0.2,1.3,16.3
34,Kevin Love,CLE,60,31.4,19.0,6.2,14.5,42.7,2.4,6.5,37.3,4.3,4.9,87.1,2.5,8.6,11.1,1.9,0.9,0.4,2.0,22.4
35,Dwyane Wade,CHI,60,29.9,18.3,6.9,15.9,43.4,0.8,2.4,31.0,3.7,4.7,79.4,1.1,3.5,4.5,3.8,1.4,0.7,2.3,16.4
36,Danilo Gallinari,DEN,63,33.9,18.2,5.3,11.9,44.7,2.0,5.1,38.9,5.5,6.1,90.2,0.6,4.5,5.2,2.1,0.6,0.2,1.3,17.9
37,Kristaps Porziņģis,NYK,66,32.8,18.1,6.7,14.9,45.0,1.7,4.8,35.7,3.0,3.8,78.6,1.7,5.5,7.2,1.5,0.7,2.0,1.8,18.6
38,Chris Paul,LAC,61,31.5,18.1,6.1,12.9,47.6,2.0,5.0,41.1,3.8,4.3,89.2,0.7,4.3,5.0,9.2,2.0,0.1,2.4,24.8
39,Paul Millsap,ATL,69,34.0,18.1,6.2,14.1,44.2,1.1,3.5,31.1,4.5,5.9,76.8,1.6,6.1,7.7,3.7,1.3,0.9,2.3,20.1
40,Derrick Rose,NYK,64,32.5,18.0,7.2,15.3,47.1,0.2,0.9,21.7,3.5,4.0,87.4,1.0,2.8,3.8,4.4,0.7,0.3,2.3,16.4
41,Dennis Schröder,ATL,79,31.5,17.9,6.9,15.4,45.1,1.3,3.7,34.0,2.8,3.2,85.5,0.5,2.6,3.1,6.3,0.9,0.2,3.3,16.3
42,Lou Williams,HOU,81,24.6,17.5,5.3,12.3,42.9,2.0,5.5,36.5,5.0,5.6,88.0,0.3,2.2,2.5,3.0,1.0,0.2,2.0,14.5
43,LaMarcus Aldridge,SAS,72,32.4,17.3,6.9,14.6,47.7,0.3,0.8,41.1,3.1,3.8,81.2,2.4,4.9,7.3,1.9,0.6,1.2,1.4,18.6
44,Evan Fournier,ORL,68,32.9,17.2,6.0,13.7,43.9,1.9,5.3,35.6,3.3,4.1,80.5,0.6,2.4,3.1,3.0,1.0,0.1,2.1,13.7
45,Hassan Whiteside,MIA,77,32.6,17.0,7.0,12.6,55.7,0.0,0.0,0.0,2.9,4.6,62.8,3.8,10.3,14.1,0.7,0.7,2.1,2.0,25.4
46,Nikola Jokić,DEN,73,27.9,16.7,6.8,11.7,57.8,0.6,1.9,32.4,2.6,3.1,82.5,2.9,6.9,9.8,4.9,0.8,0.8,2.3,25.2
47,Eric Gordon,HOU,75,31.0,16.2,5.5,13.5,40.6,3.3,8.8,37.2,2.0,2.3,84.0,0.4,2.3,2.7,2.5,0.6,0.5,1.6,12.6
48,Tobias Harris,DET,82,31.3,16.1,6.2,13.0,48.1,1.3,3.8,34.7,2.3,2.8,84.1,0.8,4.3,5.1,1.7,0.7,0.5,1.2,15.8
49,Victor Oladipo,OKC,67,33.2,15.9,6.1,13.9,44.2,1.9,5.3,36.1,1.7,2.3,75.3,0.6,3.8,4.3,2.6,1.2,0.3,1.8,14.3
50,Wilson Chandler,DEN,71,30.9,15.7,6.1,13.2,46.1,1.5,4.6,33.7,2.0,2.7,72.7,1.5,5.0,6.5,2.0,0.7,0.4,1.6,15.9
51,D'Angelo Russell,LAL,63,28.7,15.6,5.6,13.8,40.5,2.1,6.1,35.2,2.3,3.0,78.2,0.5,3.0,3.5,4.8,1.4,0.3,2.8,13.9
52,Jrue Holiday,NOP,67,32.7,15.4,6.0,13.3,45.4,1.5,4.2,35.6,1.8,2.5,70.8,0.7,3.3,3.9,7.3,1.5,0.7,2.9,17.8
53,Jeff Teague,IND,82,32.4,15.3,4.9,11.1,44.2,1.1,3.1,35.7,4.4,5.1,86.7,0.4,3.6,4.0,7.8,1.2,0.4,2.6,19.2
54,Nicolas Batum,CHA,77,34.0,15.1,5.1,12.7,40.3,1.8,5.3,33.3,3.2,3.7,85.6,0.6,5.6,6.2,5.9,1.1,0.4,2.5,18.2
55,JJ Redick,LAC,78,28.2,15.0,5.1,11.4,44.5,2.6,6.0,42.9,2.3,2.6,89.1,0.1,2.1,2.2,1.4,0.7,0.2,1.3,11.6
56,Serge Ibaka,TOR,79,30.7,14.8,6.0,12.4,48.0,1.6,4.0,39.1,1.4,1.6,85.6,1.6,5.2,6.8,0.9,0.5,1.6,1.3,16.7
57,Jordan Clarkson,LAL,82,29.2,14.7,5.8,13.1,44.5,1.4,4.3,32.9,1.6,2.0,79.8,0.6,2.4,3.0,2.6,1.1,0.1,2.0,11.8
58,Nikola Vučević,ORL,75,28.8,14.6,6.4,13.7,46.8,0.3,1.0,30.7,1.4,2.1,66.9,2.3,8.0,10.4,2.8,1.0,1.0,1.6,20.2
59,Myles Turner,IND,81,31.4,14.5,5.5,10.7,51.1,0.5,1.4,34.8,3.0,3.7,80.9,1.7,5.6,7.3,1.3,0.9,2.1,1.3,18.8
60,Tim Hardaway Jr.,ATL,79,27.3,14.5,5.3,11.5,45.5,1.9,5.3,35.7,2.1,2.7,76.6,0.4,2.4,2.8,2.3,0.7,0.2,1.3,12.2
61,T.J. Warren,PHX,66,31.0,14.4,6.1,12.3,49.5,0.4,1.5,26.5,1.8,2.3,77.3,1.9,3.2,5.1,1.1,1.2,0.6,0.9,14.8
62,Enes Freedom,OKC,72,21.3,14.3,5.6,10.2,54.5,0.1,0.5,13.2,3.1,4.0,78.6,2.7,4.0,6.7,0.9,0.4,0.5,1.7,15.7
63,Zach Randolph,MEM,73,24.5,14.1,5.9,13.2,44.9,0.3,1.3,22.3,1.9,2.6,73.1,2.5,5.7,8.2,1.7,0.5,0.1,1.4,15.3
64,Rudy Gobert,UTA,81,33.9,14.0,5.1,7.7,66.1,0.0,0.0,0.0,3.8,5.9,65.3,3.9,8.9,12.8,1.2,0.6,2.6,1.8,24.8
65,Al Horford,BOS,68,32.3,14.0,5.6,11.8,47.3,1.3,3.6,35.5,1.6,2.0,80.0,1.4,5.4,6.8,5.0,0.8,1.3,1.7,19.5
66,Marcus Morris Sr.,DET,79,32.5,14.0,5.3,12.7,41.8,1.5,4.5,33.1,1.8,2.3,78.4,1.0,3.7,4.6,2.0,0.7,0.3,1.1,12.6
67,Markieff Morris,WAS,76,31.2,14.0,5.3,11.7,45.7,0.9,2.6,36.2,2.4,2.8,83.7,1.4,5.1,6.5,1.7,1.1,0.6,1.7,15.3
68,Jae Crowder,BOS,72,32.4,13.9,4.6,10.0,46.3,2.2,5.5,39.8,2.4,3.0,81.1,0.7,5.1,5.8,2.2,1.0,0.3,1.1,16.1
69,Kentavious Caldwell-Pope,DET,76,33.3,13.8,4.9,12.2,39.9,2.0,5.8,35.0,2.0,2.4,83.2,0.7,2.5,3.3,2.5,1.2,0.2,1.1,12.0
70,Bojan Bogdanović,WAS,81,25.7,13.7,4.6,10.4,44.5,1.8,4.8,36.7,2.7,3.0,89.3,0.5,3.0,3.4,1.4,0.4,0.1,1.6,11.3
71,Tyler Johnson,MIA,73,29.8,13.7,4.9,11.3,43.3,1.3,3.4,37.2,2.7,3.5,76.8,0.7,3.3,4.0,3.2,1.2,0.6,1.2,14.2
72,Will Barton,DEN,60,28.4,13.7,4.9,11.1,44.3,1.5,3.9,37.0,2.4,3.2,75.3,1.0,3.4,4.3,3.4,0.8,0.5,1.6,14.1
73,Andre Drummond,DET,81,29.7,13.6,6.0,11.2,53.0,0.0,0.1,28.6,1.7,4.4,38.6,4.3,9.5,13.8,1.1,1.5,1.1,1.9,21.3
74,Ryan Anderson,HOU,72,29.4,13.6,4.5,10.7,41.8,2.8,7.0,40.3,1.8,2.1,86.0,1.6,3.0,4.6,0.9,0.4,0.2,0.8,12.4
75,Dwight Howard,ATL,74,29.7,13.5,5.2,8.3,63.3,0.0,0.0,0.0,3.1,5.7,53.3,4.0,8.7,12.7,1.4,0.9,1.2,2.3,21.7
76,Wesley Matthews,DAL,73,34.2,13.5,4.6,11.6,39.3,2.4,6.6,36.3,2.0,2.5,81.6,0.2,3.3,3.5,2.9,1.1,0.2,1.4,12.3
77,Otto Porter Jr.,WAS,80,32.6,13.4,5.2,10.0,51.6,1.9,4.3,43.4,1.2,1.5,83.2,1.5,5.0,6.4,1.5,1.5,0.5,0.6,17.7
78,Darren Collison,SAC,68,30.3,13.2,5.0,10.5,47.6,1.1,2.6,41.7,2.2,2.5,86.0,0.3,1.9,2.2,4.6,1.0,0.1,1.7,13.6
79,Nick Young,LAL,60,25.9,13.2,4.5,10.6,43.0,2.8,7.0,40.4,1.3,1.5,85.6,0.4,1.9,2.3,1.0,0.6,0.2,0.6,10.5
80,Julius Randle,LAL,74,28.8,13.2,5.1,10.4,48.8,0.2,0.9,27.0,2.8,3.8,72.3,2.0,6.6,8.6,3.6,0.7,0.5,2.3,17.8
81,Sean Kilpatrick,BKN,70,25.1,13.1,4.4,10.5,41.5,1.5,4.4,34.1,2.9,3.5,84.3,0.3,3.7,4.0,2.2,0.6,0.1,1.9,11.5
82,Ersan Ilyasova,ATL,82,26.1,13.1,4.7,10.9,43.1,1.7,4.9,35.3,2.0,2.5,77.8,1.4,4.5,5.9,1.7,0.7,0.3,1.4,13.5
83,Robert Covington,PHI,67,31.6,12.9,4.4,10.9,39.9,2.0,6.1,33.3,2.1,2.6,82.2,1.4,5.1,6.5,1.5,1.9,1.0,2.0,14.9
84,Dario Šarić,PHI,81,26.3,12.8,4.7,11.4,41.1,1.3,4.2,31.1,2.1,2.7,78.2,1.4,5.0,6.3,2.2,0.7,0.4,2.3,12.9
85,James Johnson,MIA,76,27.4,12.8,4.8,10.1,47.9,1.1,3.4,34.0,2.0,2.8,70.7,0.9,4.1,4.9,3.6,1.0,1.1,2.3,15.2
86,Seth Curry,DAL,70,29.0,12.8,4.8,10.0,48.1,2.0,4.6,42.5,1.2,1.4,85.0,0.4,2.2,2.6,2.7,1.1,0.1,1.3,12.6
87,Elfrid Payton,ORL,82,29.4,12.8,5.2,11.1,47.1,0.5,1.8,27.4,1.8,2.6,69.2,1.1,3.6,4.7,6.5,1.1,0.5,2.2,16.6
88,Aaron Gordon,ORL,80,28.7,12.7,4.9,10.8,45.4,1.0,3.3,28.8,2.0,2.7,71.9,1.5,3.6,5.1,1.9,0.8,0.5,1.1,13.2
89,DeAndre Jordan,LAC,81,31.7,12.7,5.1,7.1,71.4,0.0,0.0,0.0,2.5,5.2,48.2,3.7,10.1,13.8,1.2,0.6,1.7,1.4,23.8
90,Rodney Hood,UTA,59,27.0,12.7,4.6,11.3,40.8,1.9,5.2,37.1,1.5,1.9,78.3,0.3,3.2,3.4,1.6,0.6,0.2,1.1,10.4
91,Clint Capela,HOU,65,23.9,12.6,5.6,8.7,64.3,0.0,0.0,0.0,1.4,2.7,53.1,2.7,5.4,8.1,1.0,0.5,1.2,1.3,17.7
92,Pau Gasol,SAS,64,25.4,12.4,4.7,9.4,50.2,0.9,1.6,53.8,2.0,2.9,70.7,1.7,6.2,7.8,2.3,0.4,1.1,1.3,17.2
93,Jamal Crawford,LAC,82,26.3,12.3,4.4,10.6,41.3,1.4,3.9,36.0,2.1,2.5,85.7,0.2,1.4,1.6,2.6,0.7,0.2,1.6,9.2
94,Austin Rivers,LAC,74,27.8,12.0,4.4,9.9,44.2,1.5,4.0,37.1,1.8,2.6,69.1,0.3,1.9,2.2,2.8,0.6,0.1,1.6,9.9
95,Jonas Valančiūnas,TOR,80,25.8,12.0,4.9,8.8,55.7,0.0,0.0,50.0,2.2,2.7,81.1,2.8,6.7,9.5,0.7,0.5,0.8,1.3,17.7
96,Greg Monroe,MIL,81,22.5,11.7,4.8,9.0,53.3,0.0,0.0,0.0,2.2,3.0,74.1,2.1,4.5,6.6,2.3,1.1,0.5,1.7,15.5
97,Trevor Ariza,HOU,80,34.7,11.7,4.1,10.0,40.9,2.4,6.9,34.4,1.2,1.6,73.8,0.7,5.1,5.7,2.2,1.8,0.3,0.9,14.5
98,Frank Kaminsky,CHA,75,26.1,11.7,4.3,10.7,39.9,1.5,4.7,32.8,1.6,2.1,75.6,0.8,3.7,4.5,2.2,0.6,0.5,1.0,11.4
99,Steven Adams,OKC,80,29.9,11.3,4.7,8.2,57.1,0.0,0.0,0.0,2.0,3.2,61.1,3.5,4.2,7.7,1.1,1.1,1.0,1.8,15.6
100,Marvin Williams,CHA,76,30.2,11.2,3.9,9.3,42.2,1.6,4.7,35.0,1.7,2.0,87.3,1.2,5.4,6.6,1.4,0.8,0.7,0.8,14.2
101,Ricky Rubio,MIN,75,32.9,11.1,3.5,8.7,40.2,0.8,2.6,30.6,3.4,3.8,89.1,0.9,3.2,4.1,9.1,1.7,0.1,2.6,17.9
102,Terrence Ross,ORL,78,25.1,11.0,4.2,9.6,43.7,1.8,5.0,36.3,0.8,1.0,83.1,0.2,2.4,2.6,1.1,1.1,0.4,0.9,9.9
102,Thaddeus Young,IND,74,30.2,11.0,4.9,9.3,52.7,0.6,1.6,38.1,0.6,1.2,52.3,1.8,4.3,6.1,1.6,1.5,0.4,1.3,14.4
104,Kent Bazemore,ATL,73,26.9,11.0,4.0,9.9,40.9,1.3,3.6,34.6,1.6,2.3,70.8,0.6,2.5,3.2,2.4,1.2,0.7,1.7,10.3
105,Deron Williams,CLE,64,25.9,11.0,4.1,9.4,43.8,1.3,3.7,36.3,1.4,1.7,82.6,0.2,2.1,2.3,5.6,0.5,0.1,2.2,11.8
106,Taj Gibson,OKC,78,25.5,10.8,4.7,9.1,51.5,0.0,0.2,23.1,1.4,2.0,71.5,2.0,4.2,6.2,0.9,0.5,0.8,1.3,13.0
107,Courtney Lee,NYK,77,31.9,10.8,4.2,9.1,45.6,1.4,3.5,40.1,1.1,1.3,86.7,0.7,2.7,3.4,2.3,1.1,0.3,0.9,11.9
108,Marcin Gortat,WAS,82,31.2,10.8,4.8,8.2,57.9,0.0,0.0,0.0,1.3,1.9,64.8,2.9,7.5,10.4,1.5,0.5,0.7,1.5,18.2
109,CJ Miles,IND,76,23.4,10.7,3.7,8.5,43.4,2.2,5.4,41.3,1.1,1.2,90.3,0.4,2.6,3.0,0.6,0.6,0.3,0.5,9.8
110,Allen Crabbe,POR,79,28.5,10.7,3.8,8.2,46.8,1.7,3.8,44.4,1.3,1.6,84.7,0.2,2.6,2.9,1.2,0.7,0.3,0.8,10.3
111,Nikola Mirotic,CHI,70,24.0,10.6,3.7,8.9,41.3,1.8,5.4,34.2,1.4,1.8,77.3,0.9,4.6,5.5,1.1,0.8,0.8,1.1,11.9
112,Marcus Smart,BOS,79,30.4,10.6,3.4,9.5,35.9,1.2,4.2,28.3,2.6,3.2,81.2,1.0,2.9,3.9,4.6,1.6,0.4,2.0,12.4
113,Buddy Hield,SAC,82,23.0,10.6,4.0,9.4,42.6,1.8,4.6,39.1,0.8,0.9,84.2,0.4,2.9,3.3,1.5,0.5,0.1,1.2,9.1
114,Marco Belinelli,CHA,74,24.0,10.5,3.6,8.3,42.9,1.4,3.8,36.0,2.0,2.3,89.3,0.2,2.2,2.4,2.0,0.6,0.1,0.9,9.7
115,Wayne Ellington,MIA,62,24.2,10.5,3.7,9.0,41.6,2.4,6.4,37.8,0.6,0.7,86.0,0.3,1.8,2.1,1.1,0.6,0.1,0.5,8.5
116,Mason Plumlee,DEN,81,26.5,10.4,4.1,7.7,53.6,0.0,0.1,0.0,2.1,3.7,58.0,2.1,5.4,7.5,3.5,0.9,1.1,1.7,16.6
117,Robin Lopez,CHI,81,28.0,10.4,4.7,9.6,49.3,0.0,0.0,0.0,0.9,1.3,72.1,3.0,3.4,6.4,1.0,0.2,1.4,1.1,13.1
118,Cody Zeller,CHA,62,27.8,10.3,4.1,7.1,57.1,0.0,0.0,0.0,2.1,3.2,67.9,2.2,4.4,6.5,1.6,1.0,0.9,1.0,15.2
119,Jon Leuer,DET,75,25.9,10.2,4.1,8.6,48.0,0.7,2.2,29.3,1.3,1.5,86.7,1.4,4.0,5.4,1.5,0.4,0.3,0.9,12.3
119,Malcolm Brogdon,MIL,75,26.4,10.2,3.9,8.5,45.7,1.0,2.6,40.4,1.5,1.7,86.5,0.6,2.2,2.8,4.2,1.1,0.2,1.5,12.2
121,Draymond Green,GSW,76,32.5,10.2,3.6,8.6,41.8,1.1,3.5,30.8,2.0,2.8,70.9,1.3,6.6,7.9,7.0,2.0,1.4,2.4,20.3
122,Jusuf Nurkić,POR,65,21.4,10.2,4.2,8.2,50.7,0.0,0.0,0.0,1.8,3.2,57.1,2.4,4.8,7.2,1.9,0.8,1.1,2.2,13.5
123,Tony Parker,SAS,63,25.2,10.1,4.2,9.0,46.6,0.4,1.1,33.3,1.3,1.9,72.6,0.1,1.7,1.8,4.5,0.5,0.0,1.4,10.3
124,Kyle Korver,CLE,67,26.2,10.1,3.6,7.7,46.4,2.4,5.4,45.1,0.6,0.6,90.5,0.1,2.7,2.8,1.6,0.5,0.3,1.0,10.1
125,Maurice Harkless,POR,77,28.9,10.0,4.1,8.1,50.3,0.9,2.5,35.1,1.0,1.6,62.1,1.6,2.8,4.4,1.1,1.1,0.9,1.1,11.9
126,Trevor Booker,BKN,71,24.7,10.0,4.3,8.3,51.6,0.4,1.1,32.1,1.0,1.5,67.3,2.0,6.0,8.0,1.9,1.1,0.4,1.8,15.1
127,Gorgui Dieng,MIN,82,32.4,10.0,4.0,8.1,50.2,0.2,0.5,37.2,1.7,2.0,81.4,2.3,5.6,7.9,1.9,1.1,1.2,1.3,16.3
128,Shabazz Muhammad,MIN,78,19.4,9.9,3.7,7.7,48.2,0.6,1.9,33.8,1.9,2.4,77.4,1.1,1.7,2.8,0.4,0.3,0.1,0.7,8.3
129,Jamal Murray,DEN,82,21.5,9.9,3.6,8.9,40.4,1.4,4.2,33.4,1.3,1.5,88.3,0.5,2.1,2.6,2.1,0.6,0.3,1.4,8.6
130,Ty Lawson,SAC,69,25.1,9.9,3.4,7.6,45.4,0.5,1.7,28.8,2.5,3.1,79.7,0.6,2.0,2.6,4.8,1.1,0.1,1.9,11.8
131,Jeremy Lamb,CHA,62,18.4,9.7,3.6,7.9,46.0,0.7,2.4,28.1,1.8,2.1,85.3,0.5,3.8,4.3,1.2,0.4,0.4,0.6,10.8
132,Kenneth Faried,DEN,61,21.2,9.6,3.7,6.8,54.8,0.0,0.1,0.0,2.1,3.1,69.3,3.0,4.6,7.6,0.9,0.7,0.7,1.0,14.5
133,E'Twaun Moore,NOP,73,24.9,9.6,3.9,8.5,45.7,1.1,2.8,37.0,0.8,1.0,77.0,0.5,1.6,2.1,2.2,0.7,0.4,0.8,9.4
134,Patrick Beverley,HOU,67,30.7,9.5,3.4,8.1,42.0,1.6,4.3,38.2,1.1,1.4,76.8,1.4,4.4,5.9,4.2,1.5,0.4,1.5,14.9
135,Patty Mills,SAS,80,21.9,9.5,3.4,7.8,44.0,1.8,4.4,41.4,0.8,1.0,82.5,0.3,1.5,1.8,3.5,0.8,0.0,1.3,9.8
136,Nik Stauskas,PHI,80,27.4,9.5,3.1,7.9,39.6,1.7,4.5,36.8,1.5,1.9,81.3,0.3,2.6,2.8,2.4,0.6,0.4,1.6,8.9
137,Brandon Ingram,LAL,79,28.8,9.4,3.5,8.7,40.2,0.7,2.4,29.4,1.7,2.7,62.1,0.8,3.2,4.0,2.1,0.6,0.5,1.5,8.9
138,Ish Smith,DET,81,24.1,9.4,4.1,9.2,43.9,0.3,1.3,26.7,0.9,1.3,70.6,0.3,2.6,2.9,5.2,0.8,0.4,1.4,11.6
139,Cory Joseph,TOR,80,25.0,9.3,3.7,8.3,45.2,0.6,1.7,35.6,1.2,1.5,77.0,0.6,2.3,2.9,3.3,0.8,0.2,1.4,10.3
140,Jeff Green,ORL,69,22.2,9.2,3.2,8.1,39.4,0.8,2.8,27.5,2.1,2.4,86.3,0.6,2.5,3.1,1.2,0.5,0.2,1.1,7.9
141,Gerald Henderson,PHI,72,23.2,9.2,3.3,7.7,42.3,0.8,2.4,35.3,1.8,2.3,80.6,0.5,2.1,2.6,1.6,0.6,0.2,0.9,8.3
142,Marquese Chriss,PHX,82,21.3,9.2,3.5,7.7,44.9,0.9,2.7,32.1,1.4,2.2,62.4,1.2,3.1,4.2,0.7,0.8,0.9,1.3,9.4
143,Michael Kidd-Gilchrist,CHA,81,29.0,9.2,3.6,7.6,47.7,0.0,0.1,11.1,1.9,2.4,78.4,1.9,5.0,7.0,1.4,1.0,1.0,0.7,14.3
144,Joe Johnson,UTA,78,23.6,9.2,3.5,8.0,43.6,1.4,3.3,41.1,0.8,1.0,81.8,0.4,2.7,3.1,1.8,0.5,0.2,0.9,9.2
145,Jameer Nelson,DEN,75,27.3,9.2,3.6,8.1,44.4,1.4,3.6,38.8,0.6,0.8,71.4,0.4,2.2,2.6,5.1,0.7,0.1,1.7,11.3
146,Channing Frye,CLE,74,18.9,9.1,3.2,7.0,45.8,1.9,4.5,40.9,0.9,1.0,85.1,0.5,3.4,3.9,0.6,0.4,0.5,0.7,9.9
147,Nene,HOU,67,17.9,9.1,3.7,5.9,61.7,0.0,0.1,33.3,1.7,2.9,58.9,1.4,2.8,4.2,1.0,0.8,0.6,1.1,11.1
148,Montrezl Harrell,HOU,58,18.3,9.1,3.9,5.9,65.2,0.0,0.1,14.3,1.3,2.1,62.8,1.4,2.4,3.8,1.1,0.3,0.7,0.8,11.4
149,Tony Allen,MEM,71,27.0,9.1,3.9,8.4,46.1,0.2,0.8,27.8,1.1,1.8,61.5,2.3,3.2,5.5,1.4,1.6,0.4,1.4,11.3
